ID,taxonomia,regional_boticario,uf,praca,Clustes exibidores,exibidores,Cluster formato,formato,estatico,digital,range_minimo,range_maximo,quantidade,periodicidade,s1,s2,s3,s4,flight,unitario_bruto_tabela,desconto,unitario_bruto_negociado,total_bruto_negociado
1,data produto,centro oeste,mt,cuiaba,Outros,TC Painel,Outdoor,Outdoor Lonado,1,0,15,30,25,Bisemanal,25,0,0,0,1,"1875,00","0,06","1762,50","44062,50"
2,data produto,centro oeste,mt,cuiaba,Outros,TC Painel,Front,Frontlight,1,0,5,10,1,Mensal,1,0,0,0,1,"6000,00","0,04","5760,00","5760,00"
3,data produto,centro oeste,mt,cuiaba,Outros,TC Painel,Front,Painel de Led,0,1,8,16,4,Mensal,4,0,0,0,1,"2875,00","0,05","2731,25","10925,00"
4,data produto,centro oeste,mt,cuiaba,Bigdoor,WeOOh,Front,Painel de Led,0,1,8,16,3,Mensal,3,0,0,0,1,"27024,15","0,70","8107,25","24321,74"
5,data produto,centro oeste,mt,cuiaba,Outros,TC Painel,Empena,Empena,1,0,4,8,2,Mensal,2,0,0,0,1,"16250,00","0,05","15437,50","30875,00"
6,data produto,centro oeste,mt,cuiaba,Outros,Speed Label,Empena,Empena,1,0,4,8,1,Mensal,1,0,0,0,1,"24500,00","0,05","23275,00","23275,00"
7,data produto,centro oeste,mt,cuiaba,Outros,Speed Label,Front,Frontlight,1,0,5,10,4,Mensal,4,0,0,0,1,"4800,00","0,05","4560,00","18240,00"
8,data produto,centro oeste,mt,cuiaba,Outros,Speed Label,Front,Painel Gigante,1,0,4,8,1,Mensal,1,0,0,0,1,"23400,00","0,05","22230,00","22230,00"
9,data produto,centro oeste,mt,cuiaba,Bigdoor,Cuiabá Outdoor,Front,Frontlight,1,0,5,10,2,Mensal,2,0,0,0,1,"12555,00","0,60","5022,00","10044,00"
10,data produto,centro oeste,mt,cuiaba,Bigdoor,Cuiabá Outdoor,Outdoor,Outdoor Lonado,1,0,15,30,15,Mensal,0,0,15,0,1,"4075,00","0,60","1630,00","24450,00"
11,data produto,centro oeste,mt,cuiaba,Bigdoor,Cuiabá Outdoor,Front,Painel de Led,0,1,8,16,3,Mensal,3,0,0,0,1,"10005,00","0,50","5002,50","15007,50"
12,data produto,centro oeste,mt,cuiaba,Bigdoor,Cuiabá Outdoor,Front,Frontlight,1,0,5,10,2,Mensal,2,0,0,0,1,"12555,00","0,60","5022,00","10044,00"
13,data produto,centro oeste,mt,cuiaba,Bigdoor,Cuiabá Outdoor,Empena,Empena,1,0,4,8,1,Mensal,1,0,0,0,1,"62555,00","0,60","25022,00","25022,00"
14,data promo,centro oeste,mt,cuiaba,Outros,TC Painel,Outdoor,Outdoor Lonado,1,0,15,30,35,Bisemanal,35,0,0,0,1,"1875,00","0,06","1762,50","61687,50"
15,data promo,centro oeste,mt,cuiaba,Outros,TC Painel,Front,Frontlight,1,0,5,10,1,Mensal,1,0,0,0,1,"6000,00","0,04","5760,00","5760,00"
16,data promo,centro oeste,mt,cuiaba,Outros,TC Painel,Front,Painel de Led,0,1,8,16,3,Mensal,3,0,0,0,1,"2875,00","0,05","2731,25","8193,75"
17,data promo,centro oeste,mt,cuiaba,Bigdoor,WeOOh,Front,Painel de Led,0,1,8,16,3,Mensal,3,0,0,0,1,"27024,15","0,70","8107,25","24321,74"
18,data promo,centro oeste,mt,cuiaba,Outros,Speed Label,Front,Frontlight,1,0,5,10,4,Mensal,4,0,0,0,1,"4800,00","0,05","4560,00","18240,00"
19,data promo,centro oeste,mt,cuiaba,Bigdoor,Cuiabá Outdoor,Front,Frontlight,1,0,5,10,2,Mensal,2,0,0,0,1,"12555,00","0,60","5022,00","10044,00"
20,data promo,centro oeste,mt,cuiaba,Bigdoor,Cuiabá Outdoor,Outdoor,Outdoor Lonado,1,0,15,30,30,Mensal,0,0,30,0,1,"4075,00","0,60","1630,00","48900,00"
21,data promo,centro oeste,mt,cuiaba,Bigdoor,Cuiabá Outdoor,Front,Painel de Led,0,1,8,16,3,Mensal,3,0,0,0,1,"10005,00","0,50","5002,50","15007,50"
22,data promo,centro oeste,mt,cuiaba,Bigdoor,Cuiabá Outdoor,Front,Frontlight,1,0,5,10,2,Mensal,2,0,0,0,1,"12555,00","0,60","5022,00","10044,00"
23,data promo,centro oeste,mt,cuiaba,Outros,Tutto,Busdoor,Busdoor,1,0,15,25,20,Mensal,20,0,0,0,1,"4065,00","0,40","2439,00","48780,00"
24,data promo,centro oeste,mt,cuiaba,Outros,Cartaxi,Busdoor,Taxi - Vidro traseiro + interno,1,0,20,30,25,Mensal,25,0,0,0,1,"1600,00","0,70","480,00","12000,00"
25,ouro produto,centro oeste,mt,cuiaba,Outros,TC Painel,Outdoor,Outdoor Lonado,1,0,10,25,20,Bisemanal,20,0,0,0,1,"1875,00","0,06","1762,50","35250,00"
26,ouro produto,centro oeste,mt,cuiaba,Outros,TC Painel,Front,Frontlight,1,0,4,8,1,Mensal,1,0,0,0,1,"6000,00","0,04","5760,00","5760,00"
27,ouro produto,centro oeste,mt,cuiaba,Outros,TC Painel,Front,Painel de Led,0,1,6,12,3,Mensal,3,0,0,0,1,"2875,00","0,05","2731,25","8193,75"
28,ouro produto,centro oeste,mt,cuiaba,Bigdoor,WeOOh,Front,Painel de Led,0,1,6,12,3,Mensal,3,0,0,0,1,"27024,15","0,70","8107,25","24321,74"
29,ouro produto,centro oeste,mt,cuiaba,Outros,TC Painel,Empena,Empena,1,0,3,6,1,Mensal,1,0,0,0,1,"16250,00","0,05","15437,50","15437,50"
30,ouro produto,centro oeste,mt,cuiaba,Outros,Speed Label,Empena,Empena,1,0,3,6,1,Mensal,1,0,0,0,1,"24500,00","0,05","23275,00","23275,00"
31,ouro produto,centro oeste,mt,cuiaba,Outros,Speed Label,Front,Frontlight,1,0,4,8,2,Mensal,2,0,0,0,1,"4800,00","0,05","4560,00","9120,00"
32,ouro produto,centro oeste,mt,cuiaba,Outros,Speed Label,Front,Painel Gigante,1,0,3,6,1,Mensal,1,0,0,0,1,"23400,00","0,05","22230,00","22230,00"
33,ouro produto,centro oeste,mt,cuiaba,Bigdoor,Cuiabá Outdoor,Front,Frontlight,1,0,4,8,1,Mensal,1,0,0,0,1,"12555,00","0,60","5022,00","5022,00"
34,ouro produto,centro oeste,mt,cuiaba,Bigdoor,Cuiabá Outdoor,Outdoor,Outdoor Lonado,1,0,10,25,15,Mensal,0,0,15,0,1,"4075,00","0,60","1630,00","24450,00"
