=== RESUMO DOS BLOCOS DE MÍDIA ===
"Mídia","Budget Input","Ciclo (semanas)","UF","Praça","Taxonomia","Exibidores","Formato","Região","Cluster Exibidores","Cluster Formato","Periodicidade","Flight","Digital","Estático","Faces Alocadas","Budget Utilizado","Budget Ideal","Sobrando","Status"
"Mídia 1","R$ 10.000.000,00","1","Tudo","Tudo","Tudo","Tudo","Tudo","norte","Tudo","Tudo","Tudo","Tudo","Não","Não","523","R$ 2.011.768,10","R$ 1.604.647,30","R$ 7.988.231,90","excessive"
"Mídia 2","R$ 1.312.312,00","1","rj","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Tudo","Não","Não","914","R$ 1.311.510,00","R$ 33.748.018,40","R$ 802,00","insufficient"

=== FACES RECOMENDADAS (DETALHADO) ===
"Mídia","Prioridade","Praça","UF","Exibidores","Taxonomia","Formato","Qtd Disponível","Preço Unitário","ROI","Alocado"
"Mídia 1","1","palmas","to","Artes Coloridas","data produto","Outdoor lonado","10","R$ 825,00","14.1000","0"
"Mídia 1","2","palmas","to","Artes Coloridas","data promo","Outdoor lonado","10","R$ 825,00","14.1000","0"
"Mídia 1","3","belem","pa","Brasil Midia Exterior","data produto","Outdoor lonado","15","R$ 2.385,00","13.8800","0"
"Mídia 1","4","belem","pa","Brasil Midia Exterior","data promo","Outdoor lonado","15","R$ 2.385,00","13.8800","0"
"Mídia 1","5","belem","pa","Brasil Midia Exterior","prata","Outdoor lonado","15","R$ 2.385,00","13.8800","0"
"Mídia 1","6","macapa","ap","Atos","ouro produto","Outdoor lonado","10","R$ 1.200,00","13.4300","0"
"Mídia 1","7","macapa","ap","Atos","ouro promo","Outdoor lonado","10","R$ 1.200,00","13.4300","0"
"Mídia 1","8","macapa","ap","Atos","prata","Outdoor lonado","10","R$ 1.200,00","13.4300","0"
"Mídia 1","9","manaus","am","Brasil Midia Exterior","data promo","Outdoor lonado","16","R$ 2.610,00","12.6500","0"
"Mídia 1","10","palmas","to","Artes Coloridas","ouro produto","Outdoor lonado","8","R$ 825,00","12.2800","0"
"Mídia 1","11","palmas","to","Artes Coloridas","ouro promo","Outdoor lonado","8","R$ 825,00","12.2800","0"
"Mídia 1","12","macapa","ap","Atos","data produto","Outdoor lonado","10","R$ 1.200,00","12.1300","0"
"Mídia 1","13","macapa","ap","Atos","data produto","Outdoor lonado","10","R$ 1.200,00","12.1300","0"
"Mídia 1","14","macapa","ap","Atos","data promo","Outdoor lonado","10","R$ 1.200,00","12.1300","0"
"Mídia 1","15","macapa","ap","Atos","data promo","Outdoor lonado","10","R$ 1.200,00","12.1300","0"
"Mídia 1","16","manaus","am","Brasil Midia Exterior","data produto","Outdoor lonado","10","R$ 1.200,00","12.1300","0"
"Mídia 1","17","rio branco","ac","Atual Publicidade","data produto","Outdoor papel","8","R$ 854,40","12.0700","0"
"Mídia 1","18","rio branco","ac","Atual Publicidade","data promo","Outdoor papel","8","R$ 854,40","12.0700","0"
"Mídia 1","19","palmas","to","Artes Coloridas","prata","Outdoor lonado","6","R$ 825,00","10.9800","0"
"Mídia 1","20","rio branco","ac","Atual Publicidade","ouro produto","Outdoor papel","6","R$ 854,40","10.7700","0"
"Mídia 1","21","rio branco","ac","Atual Publicidade","ouro promo","Outdoor papel","6","R$ 854,40","10.7700","0"
"Mídia 1","22","belem","pa","Brasil Midia Exterior","ouro produto","Outdoor lonado","10","R$ 2.385,00","9.9800","0"
"Mídia 1","23","belem","pa","Brasil Midia Exterior","ouro promo","Outdoor lonado","10","R$ 2.385,00","9.9800","0"
"Mídia 1","24","macapa","ap","Atos","ouro produto","Outdoor lonado","8","R$ 1.200,00","9.7900","0"
"Mídia 1","25","macapa","ap","Atos","prata","Outdoor lonado","8","R$ 1.200,00","9.7900","0"
"Mídia 1","26","manaus","am","Brasil Midia Exterior","ouro produto","Outdoor lonado","10","R$ 2.610,00","9.7900","0"
"Mídia 1","27","manaus","am","Brasil Midia Exterior","ouro promo","Outdoor lonado","10","R$ 2.610,00","9.7900","0"
"Mídia 1","28","rio branco","ac","Atual Publicidade","prata","Outdoor papel","4","R$ 854,40","9.2100","0"
"Mídia 1","29","belem","pa","eletromidia","data produto","painel led","6","R$ 2.371,60","7.6100","0"
"Mídia 1","30","macapa","ap","Atos","ouro promo","Outdoor lonado","8","R$ 2.800,00","7.3200","0"
"Mídia 1","31","manaus","am","Bureau Midia OOH","data promo","BackBus","6","R$ 1.440,00","6.9800","0"
